packet_count,total_bytes,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,window_duration,avg_inter_arrival,std_inter_arrival,tcp_ratio,udp_ratio,unique_src_ports,unique_dst_ports,bytes_per_second,packets_per_second,burst_ratio,label,file_source,window_id
1373,0,0.0,0.0,0,0,2.9636569023132324,0.0021600997830271374,0.017129308343599364,1.0,0.0,8,8,0.0,463.2789979596923,0.9970845481049563,1,reels_01,101
72,0,0.0,0.0,0,0,2.614307165145874,0.0368212276781109,0.08737910523320974,1.0,0.0,4,4,0.0,27.540757627836943,0.9014084507042254,1,reels_01,102
43,0,0.0,0.0,0,0,2.9537699222564697,0.0703278552918207,0.19699945977236008,1.0,0.0,3,3,0.0,14.557667364677837,0.8333333333333334,1,reels_01,103
121,0,0.0,0.0,0,0,2.972729206085205,0.024772743384043377,0.08556764719295142,1.0,0.0,6,5,0.0,40.703337442344846,0.9416666666666667,1,reels_01,104
44,0,0.0,0.0,0,0,2.998552083969116,0.06973376939463061,0.24647179611180256,1.0,0.0,6,6,0.0,14.673748785366499,0.8837209302325582,1,reels_01,105
1136,0,0.0,0.0,0,0,2.2893359661102295,0.002017036093489189,0.012437615287802118,1.0,0.0,8,7,0.0,496.213756659822,0.9973568281938326,1,reels_01,106
70,0,0.0,0.0,0,0,2.7781929969787598,0.04026366662288058,0.07065075138739894,1.0,0.0,8,7,0.0,25.196233694391957,0.8405797101449275,1,reels_01,107
124,0,0.0,0.0,0,0,2.698503017425537,0.021939048922158838,0.052942331834746496,1.0,0.0,4,4,0.0,45.95140312953964,0.9349593495934959,1,reels_01,108
702,0,0.0,0.0,0,0,2.9692208766937256,0.004235693119391906,0.043717799406640494,1.0,0.0,9,8,0.0,236.42565816177614,0.9885877318116976,1,reels_01,109
369,0,0.0,0.0,0,0,2.852565050125122,0.007751535462296527,0.02535148528217665,1.0,0.0,6,5,0.0,129.35726040106064,0.9809782608695652,1,reels_01,110
1037,0,0.0,0.0,0,0,2.9916341304779053,0.00288767773212153,0.03295164560704833,1.0,0.0,5,5,0.0,346.6332963096467,0.9922779922779923,1,reels_01,111
305,0,0.0,0.0,0,0,2.9740381240844727,0.009783020145014712,0.026591583488273722,1.0,0.0,8,7,0.0,102.5541661789864,0.9769736842105263,1,reels_01,112
